entity_type,product_key,sku_key,category_key,category_name,product_name,slug,description,brand,ncm,cest,origem_mercadoria,code,variant_key,price_cents,compare_at_price_cents,stock_quantity,weight_g,width_mm,height_mm,length_mm,active,country,region,grape,vintage,alcohol,volume,color
sku,wine-br-001,wine-br-001-750ml,vinhos-tintos,Vinhos Tintos,Miolo Lote 43 Tinto,miolo-lote-43-tinto,"Ícone da vitivinicultura brasileira elaborado apenas em safras excepcionais no Vale dos Vinhedos, amadurecido 12 meses em barricas de carvalho francês.",Miolo Wine Group,22042100,0301200,0,WINE-001-750,750ml,25900,28900,48,1350,80,315,80,true,Brasil,Vale dos Vinhedos,"Cabernet Sauvignon, Merlot",2020,14.0%,750ml,Tinto
sku,wine-br-002,wine-br-002-750ml,espumantes-champagnes,Espumantes & Champagnes,Casa Valduga 130 Brut,casa-valduga-130-brut,Espumante ícone brasileiro elaborado pelo método tradicional (champenoise) com 36 meses de evolução em caves subterrâneas.,Casa Valduga,22042100,0301200,0,WINE-002-750,750ml,16900,18900,60,1450,85,320,85,true,Brasil,Vale dos Vinhedos,"Chardonnay, Pinot Noir",NV,12.0%,750ml,Espumante
sku,wine-br-003,wine-br-003-750ml,vinhos-tintos,Vinhos Tintos,Guaspari Vista do Chá Syrah,guaspari-vista-do-cha-syrah,"Vinho de colheita de inverno da Serra da Mantiqueira, premiado internacionalmente por sua complexidade aromática e elegância.",Vinícola Guaspari,22042100,0301200,0,WINE-003-750,750ml,34000,38000,36,1380,80,315,80,true,Brasil,Espírito Santo do Pinhal,Syrah,2021,14.5%,750ml,Tinto
sku,wine-br-004,wine-br-004-750ml,vinhos-tintos,Vinhos Tintos,Salton Talento Tinto,salton-talento-tinto,"Corte clássico brasileiro com notas de frutas vermelhas maduras, baunilha e taninos estruturados, com estágio de 12 meses em barricas.",Vinícola Salton,22042100,0301200,0,WINE-004-750,750ml,14900,17000,50,1350,80,315,80,true,Brasil,Campanha Gaúcha,"Cabernet Sauvignon, Merlot, Tannat",2020,13.5%,750ml,Tinto
sku,wine-br-005,wine-br-005-750ml,vinhos-tintos,Vinhos Tintos,Pizzato DNA Merlot,pizzato-dna-merlot,"A máxima expressão da uva Merlot no Vale dos Vinhedos, vinificado com vinhas velhas e maturação criteriosa em carvalho francês.",Pizzato Vinhas e Vinhos,22042100,0301200,0,WINE-005-750,750ml,22000,25000,40,1360,80,315,80,true,Brasil,Vale dos Vinhedos,Merlot,2020,14.0%,750ml,Tinto
sku,wine-br-006,wine-br-006-750ml,espumantes-champagnes,Espumantes & Champagnes,Cave Geisse Terroir Brut Nature,cave-geisse-terroir-brut-nature,Elaborado na D.O. Pinto Bandeira pelo renomado enólogo Mário Geisse com 42 meses de autólise sobre as leveduras.,Família Geisse,22042100,0301200,0,WINE-006-750,750ml,23900,26900,42,1480,85,320,85,true,Brasil,Pinto Bandeira,"Chardonnay, Pinot Noir",2019,12.5%,750ml,Espumante
sku,wine-br-007,wine-br-007-750ml,vinhos-tintos,Vinhos Tintos,Luiz Argenta Cave Corte Tinto,luiz-argenta-cave-corte-tinto,"Envelhecido 24 meses em carvalho francês, destaca-se pela garrafa italiana exclusiva e perfil aveludado com notas de especiarias e trufas.",Luiz Argenta,22042100,0301200,0,WINE-007-750,750ml,28500,32000,30,1420,82,325,82,true,Brasil,Flores da Cunha,"Merlot, Cabernet Franc",2018,13.8%,750ml,Tinto
sku,wine-ar-008,wine-ar-008-750ml,vinhos-tintos,Vinhos Tintos,Catena Zapata Malbec Argentino,catena-zapata-malbec-argentino,Obra-prima de Nicolás e Laura Catena unindo vinhas históricas de Nicasia e Adrianna em vinhedos de extrema altitude.,Bodega Catena Zapata,22042100,0301200,1,WINE-008-750,750ml,98000,115000,24,1400,80,315,80,true,Argentina,Mendoza,Malbec,2021,14.5%,750ml,Tinto
sku,wine-ar-009,wine-ar-009-750ml,vinhos-tintos,Vinhos Tintos,Nicolás Catena Zapata,nicolas-catena-zapata,O pioneiro Super-Argentino que desafiou os grandes vinhos do mundo em degustações às cegas históricas.,Bodega Catena Zapata,22042100,0301200,1,WINE-009-750,750ml,135000,155000,18,1450,82,320,82,true,Argentina,Mendoza,"Cabernet Sauvignon, Malbec",2019,14.0%,750ml,Tinto
sku,wine-ar-010,wine-ar-010-750ml,vinhos-tintos,Vinhos Tintos,Rutini Cabernet-Malbec,rutini-cabernet-malbec,"O mais consagrado blend da enologia argentina assinado pelo enólogo Mariano Di Paola, com 12 meses em barricas francesas e americanas.",Rutini Wines,22042100,0301200,1,WINE-010-750,750ml,28900,32900,60,1360,80,315,80,true,Argentina,Mendoza,"Cabernet Sauvignon, Malbec",2021,14.0%,750ml,Tinto
